date,ground_level
GMW000000058417001,5.21
GMW000000058418001,5.27
GMW000000058419001,5.26
GMW000000058420001,5.25
GMW000000058421001,5.28
GMW000000058422001,5.24
GMW000000047266001,5.29
GMW000000063339000,5.26
GMW000000063340001,4.91
GMW000000063341001,5.0
GMW000000074100001,3.64
GMW000000074100002,3.64
GMW000000074101001,3.59
GMW000000074101002,3.59
GMW000000074102001,3.6
GMW000000074102002,3.6
GMW000000075142001,5.57
GMW000000075142002,5.57
GMW000000075142003,5.57
GMW000000075143003,5.5
GMW000000075143002,5.5
GMW000000075143001,5.5
GMW000000075144002,5.56
GMW000000075144001,5.56
GMW000000075144003,5.56
GMW000000075145003,5.6
GMW000000075145002,5.6
GMW000000075145001,5.6
GMW000000075145004,5.6
GMW000000078793001,3.98
GMW000000078793002,3.98
GMW000000078794002,3.93
GMW000000078794001,3.93
GMW000000078795002,3.97
GMW000000078795001,3.97
GMW000000078796002,4.08
GMW000000078796001,4.08
GMW000000078797002,3.98
GMW000000078797001,3.98
GMW000000078798002,3.92
GMW000000078798001,3.92
GMW000000080014002,5.31
GMW000000080014001,5.31
GMW000000080015001,4.73
GMW000000080015002,4.73
GMW000000026630001,-1.22
GMW000000034637001,1.25
GMW000000034638001,-1.0
GMW000000034639001,-0.77
GMW000000034640001,-0.95
GMW000000035402001,3.37
GMW000000035403001,-0.98
GMW000000035404001,-0.84
GMW000000035405001,2.27
GMW000000035406001,-0.85
GMW000000035407001,0.41
GMW000000035408001,-0.97
GMW000000035409001,-0.92
GMW000000035410001,0.0
GMW000000035411001,2.58
GMW000000035412001,-0.81
GMW000000035413001,-0.58
GMW000000035414001,3.25
GMW000000035415001,3.39
GMW000000035416001,-0.78
GMW000000035417001,3.42
GMW000000035418001,-0.94
GMW000000035419001,-0.87
GMW000000035420001,-0.27
GMW000000035421001,-0.81
GMW000000035422001,-1.18
GMW000000035423001,-0.76
GMW000000035424001,2.98
GMW000000035425001,1.4
GMW000000035426001,3.14
GMW000000035427001,-0.84
GMW000000035428001,2.28
GMW000000035429001,-0.96
GMW000000035430001,2.87
GMW000000035431001,-1.51
GMW000000035432001,3.66
GMW000000035433001,3.15
GMW000000035434001,3.47
GMW000000035435001,2.75
GMW000000035436001,2.49
