date,location
GMW000000058417001,xxxx
GMW000000058418001,xxxx
GMW000000058419001,xxxx
GMW000000058420001,xxxx
GMW000000058421001,xxxx
GMW000000058422001,xxxx
GMW000000047266001,"Project 2100291, put 1"
GMW000000063339000,"ProjectID = 2103607, Boring = B2"
GMW000000063340001,"ProjectID = 2201260, Boring = P1A"
GMW000000063341001,"ProjectID = 2201260, Boring = P2"
GMW000000074100001,"ProjectID = I.001189, Boring = YB003"
GMW000000074100002,"ProjectID = I.001189, Boring = YB003"
GMW000000074101001,"ProjectID = I.001189, Boring = YB001"
GMW000000074101002,"ProjectID = I.001189, Boring = YB001"
GMW000000074102001,"ProjectID = I.001189, Boring = YB005"
GMW000000074102002,"ProjectID = I.001189, Boring = YB005"
GMW000000075142001,"ProjectID = 2202161, Boring = BEECV-03"
GMW000000075142002,"ProjectID = 2202161, Boring = BEECV-03"
GMW000000075142003,"ProjectID = 2202161, Boring = BEECV-03"
GMW000000075143003,"ProjectID = 2202161, Boring = BEECV-07"
GMW000000075143002,"ProjectID = 2202161, Boring = BEECV-07"
GMW000000075143001,"ProjectID = 2202161, Boring = BEECV-07"
GMW000000075144002,"ProjectID = 2202161, Boring = BEECV-06"
GMW000000075144001,"ProjectID = 2202161, Boring = BEECV-06"
GMW000000075144003,"ProjectID = 2202161, Boring = BEECV-06"
GMW000000075145003,"ProjectID = 2202161, Boring = BEECV-01"
GMW000000075145002,"ProjectID = 2202161, Boring = BEECV-01"
GMW000000075145001,"ProjectID = 2202161, Boring = BEECV-01"
GMW000000075145004,"ProjectID = 2202161, Boring = BEECV-01"
GMW000000078793001,"ProjectID = I.001501, Boring = B202"
GMW000000078793002,"ProjectID = I.001501, Boring = B202"
GMW000000078794002,"ProjectID = I.001501, Boring = B203"
GMW000000078794001,"ProjectID = I.001501, Boring = B203"
GMW000000078795002,"ProjectID = I.001501, Boring = B201"
GMW000000078795001,"ProjectID = I.001501, Boring = B201"
GMW000000078796002,"ProjectID = I.001501, Boring = B206"
GMW000000078796001,"ProjectID = I.001501, Boring = B206"
GMW000000078797002,"ProjectID = I.001501, Boring = B205"
GMW000000078797001,"ProjectID = I.001501, Boring = B205"
GMW000000078798002,"ProjectID = I.001501, Boring = B204"
GMW000000078798001,"ProjectID = I.001501, Boring = B204"
GMW000000080014002,"ProjectID = I.001189, Boring = FB002"
GMW000000080014001,"ProjectID = I.001189, Boring = FB002"
GMW000000080015001,"ProjectID = I.001189, Boring = FB001"
GMW000000080015002,"ProjectID = I.001189, Boring = FB001"
GMW000000026630001,129569-79
GMW000000034637001,128569-96
GMW000000034638001,131568-108
GMW000000034639001,131567-97
GMW000000034640001,129568-111
GMW000000035402001,129565-19
GMW000000035403001,131568-18
GMW000000035404001,131567-7
GMW000000035405001,129565-16
GMW000000035406001,131568-24
GMW000000035407001,129566-12
GMW000000035408001,131568-21
GMW000000035409001,129566-1
GMW000000035410001,131567-43
GMW000000035411001,129564-12
GMW000000035412001,131567-32
GMW000000035413001,129563-41
GMW000000035414001,131567-50
GMW000000035415001,129565-15
GMW000000035416001,131567-48
GMW000000035417001,129565-14
GMW000000035418001,131567-26
GMW000000035419001,131567-23
GMW000000035420001,129563-39
GMW000000035421001,131567-19
GMW000000035422001,129562-23
GMW000000035423001,129563-40
GMW000000035424001,131566-32
GMW000000035425001,128563-91
GMW000000035426001,131566-31
GMW000000035427001,128562-92
GMW000000035428001,131566-99
GMW000000035429001,129562-15
GMW000000035430001,131566-97
GMW000000035431001,128570-13
GMW000000035432001,131565-98
GMW000000035433001,127564-1
GMW000000035434001,131565-92
GMW000000035435001,131566-30
GMW000000035436001,127565-38
GMW000000035437001,131566-100
GMW000000035438001,127565-36
GMW000000035439001,131565-68
GMW000000035440001,125570-26
GMW000000035441001,131565-67
GMW000000035442001,125566-91
GMW000000035443001,127563-4
GMW000000035444001,131565-9
GMW000000035445001,126566-92
GMW000000035446001,133560-8
