date,metadata_available
GMW000000058417001,True
GMW000000058418001,True
GMW000000058419001,True
GMW000000058420001,True
GMW000000058421001,True
GMW000000058422001,True
GMW000000047266001,True
GMW000000063339000,True
GMW000000063340001,True
GMW000000063341001,True
GMW000000074100001,True
GMW000000074100002,True
GMW000000074101001,True
GMW000000074101002,True
GMW000000074102001,True
GMW000000074102002,True
GMW000000075142001,True
GMW000000075142002,True
GMW000000075142003,True
GMW000000075143003,True
GMW000000075143002,True
GMW000000075143001,True
GMW000000075144002,True
GMW000000075144001,True
GMW000000075144003,True
GMW000000075145003,True
GMW000000075145002,True
GMW000000075145001,True
GMW000000075145004,True
GMW000000078793001,True
GMW000000078793002,True
GMW000000078794002,True
GMW000000078794001,True
GMW000000078795002,True
GMW000000078795001,True
GMW000000078796002,True
GMW000000078796001,True
GMW000000078797002,True
GMW000000078797001,True
GMW000000078798002,True
GMW000000078798001,True
GMW000000080014002,True
GMW000000080014001,True
GMW000000080015001,True
GMW000000080015002,True
GMW000000026630001,True
GMW000000034637001,True
GMW000000034638001,True
GMW000000034639001,True
GMW000000034640001,True
GMW000000035402001,True
GMW000000035403001,True
GMW000000035404001,True
GMW000000035405001,True
GMW000000035406001,True
GMW000000035407001,True
GMW000000035408001,True
GMW000000035409001,True
GMW000000035410001,True
GMW000000035411001,True
GMW000000035412001,True
GMW000000035413001,True
GMW000000035414001,True
GMW000000035415001,True
GMW000000035416001,True
GMW000000035417001,True
GMW000000035418001,True
GMW000000035419001,True
GMW000000035420001,True
GMW000000035421001,True
GMW000000035422001,True
GMW000000035423001,True
GMW000000035424001,True
GMW000000035425001,True
GMW000000035426001,True
GMW000000035427001,True
GMW000000035428001,True
GMW000000035429001,True
GMW000000035430001,True
GMW000000035431001,True
GMW000000035432001,True
GMW000000035433001,True
GMW000000035434001,True
GMW000000035435001,True
GMW000000035436001,True
GMW000000035437001,True
GMW000000035438001,True
GMW000000035439001,True
GMW000000035440001,True
GMW000000035441001,True
GMW000000035442001,True
GMW000000035443001,True
GMW000000035444001,True
GMW000000035445001,True
GMW000000035446001,True
GMW000000035447001,True
GMW000000035448001,True
GMW000000035449001,True
GMW000000035450001,True
GMW000000035451001,True
GMW000000035452001,True
GMW000000035453001,True
GMW000000035454001,True
GMW000000035455001,True
GMW000000035456001,True
GMW000000035457001,True
GMW000000035458001,True
GMW000000035459001,True
GMW000000035460001,True
GMW000000035461001,True
GMW000000035462001,True
GMW000000035463001,True
GMW000000035464001,True
GMW000000035465001,True
GMW000000035466001,True
GMW000000035467001,True
GMW000000035468001,True
GMW000000035469001,True
GMW000000035470001,True
GMW000000035471001,True
GMW000000035472001,True
GMW000000035473001,True
GMW000000035474001,True
GMW000000035475001,True
GMW000000035476001,True
GMW000000035477001,True
GMW000000035478001,True
GMW000000035479001,True
GMW000000035480001,True
GMW000000035481001,True
GMW000000035482001,True
GMW000000035483001,True
