date,screen_bottom
GMW000000058417001,-2.79
GMW000000058418001,-2.7300000000000004
GMW000000058419001,-2.74
GMW000000058420001,-2.75
GMW000000058421001,-2.7199999999999998
GMW000000058422001,-2.7600000000000007
GMW000000047266001,2.09
GMW000000063339000,-3.74
GMW000000063340001,0.6099999999999994
GMW000000063341001,0.0
GMW000000074100001,-4.359999999999999
GMW000000074100002,-25.36
GMW000000074101001,-4.41
GMW000000074101002,-27.01
GMW000000074102001,-24.900000000000002
GMW000000074102002,-3.8999999999999995
GMW000000075142001,-1.9299999999999997
GMW000000075142002,-5.029999999999999
GMW000000075142003,-23.18
GMW000000075143003,-23.4
GMW000000075143002,-16.0
GMW000000075143001,-3.999999999999999
GMW000000075144002,-12.04
GMW000000075144001,-3.9399999999999995
GMW000000075144003,-23.29
GMW000000075145003,-12.8
GMW000000075145002,-4.9
GMW000000075145001,-0.9100000000000001
GMW000000075145004,-23.35
GMW000000078793001,-4.02
GMW000000078793002,-28.52
GMW000000078794002,-28.57
GMW000000078794001,-4.07
GMW000000078795002,-28.529999999999998
GMW000000078795001,-4.529999999999999
GMW000000078796002,-28.426000000000002
GMW000000078796001,-4.429
GMW000000078797002,-28.520999999999997
GMW000000078797001,-4.522
GMW000000078798002,-28.581
GMW000000078798001,-3.082
GMW000000080014002,-2.295
GMW000000080014001,-16.695
GMW000000080015001,-29.369000000000003
GMW000000080015002,-18.419
GMW000000026630001,-3.85
GMW000000034637001,-2.35
GMW000000034638001,-3.68
GMW000000034639001,-3.37
GMW000000034640001,-4.03
GMW000000035402001,-1.6800000000000002
GMW000000035403001,-3.74
GMW000000035404001,-3.93
GMW000000035405001,-0.41999999999999993
GMW000000035406001,-3.65
GMW000000035407001,-2.23
GMW000000035408001,-3.4699999999999998
GMW000000035409001,-4.13
GMW000000035410001,-2.79
GMW000000035411001,-1.52
GMW000000035412001,-3.36
GMW000000035413001,-2.6
GMW000000035414001,-1.5999999999999996
GMW000000035415001,-1.33
GMW000000035416001,-3.3899999999999997
GMW000000035417001,-1.21
GMW000000035418001,-3.55
GMW000000035419001,-3.0700000000000003
GMW000000035420001,-4.67
GMW000000035421001,-3.76
GMW000000035422001,-3.9
GMW000000035423001,-3.62
GMW000000035424001,-5.05
GMW000000035425001,-27.07
GMW000000035426001,-0.009999999999999787
GMW000000035427001,-27.67
GMW000000035428001,-19.84
GMW000000035429001,-3.74
GMW000000035430001,-19.22
GMW000000035431001,-4.25
GMW000000035432001,-21.46
GMW000000035433001,-0.6200000000000001
GMW000000035434001,-19.03
GMW000000035435001,-0.5099999999999998
GMW000000035436001,0.41000000000000014
GMW000000035437001,-19.32
GMW000000035438001,0.18000000000000016
GMW000000035439001,-1.6899999999999995
GMW000000035440001,-2.3
GMW000000035441001,-0.5800000000000001
GMW000000035442001,-28.909999999999997
GMW000000035443001,0.25
GMW000000035444001,0.30999999999999983
GMW000000035445001,-14.59
