date,source
GMW000000058417001,lizard
GMW000000058418001,lizard
GMW000000058419001,lizard
GMW000000058420001,lizard
GMW000000058421001,lizard
GMW000000058422001,lizard
GMW000000047266001,lizard
GMW000000063339000,lizard
GMW000000063340001,lizard
GMW000000063341001,lizard
GMW000000074100001,lizard
GMW000000074100002,lizard
GMW000000074101001,lizard
GMW000000074101002,lizard
GMW000000074102001,lizard
GMW000000074102002,lizard
GMW000000075142001,lizard
GMW000000075142002,lizard
GMW000000075142003,lizard
GMW000000075143003,lizard
GMW000000075143002,lizard
GMW000000075143001,lizard
GMW000000075144002,lizard
GMW000000075144001,lizard
GMW000000075144003,lizard
GMW000000075145003,lizard
GMW000000075145002,lizard
GMW000000075145001,lizard
GMW000000075145004,lizard
GMW000000078793001,lizard
GMW000000078793002,lizard
GMW000000078794002,lizard
GMW000000078794001,lizard
GMW000000078795002,lizard
GMW000000078795001,lizard
GMW000000078796002,lizard
GMW000000078796001,lizard
GMW000000078797002,lizard
GMW000000078797001,lizard
GMW000000078798002,lizard
GMW000000078798001,lizard
GMW000000080014002,lizard
GMW000000080014001,lizard
GMW000000080015001,lizard
GMW000000080015002,lizard
GMW000000026630001,lizard
GMW000000034637001,lizard
GMW000000034638001,lizard
GMW000000034639001,lizard
GMW000000034640001,lizard
GMW000000035402001,lizard
GMW000000035403001,lizard
GMW000000035404001,lizard
GMW000000035405001,lizard
GMW000000035406001,lizard
GMW000000035407001,lizard
GMW000000035408001,lizard
GMW000000035409001,lizard
GMW000000035410001,lizard
GMW000000035411001,lizard
GMW000000035412001,lizard
GMW000000035413001,lizard
GMW000000035414001,lizard
GMW000000035415001,lizard
GMW000000035416001,lizard
GMW000000035417001,lizard
GMW000000035418001,lizard
GMW000000035419001,lizard
GMW000000035420001,lizard
GMW000000035421001,lizard
GMW000000035422001,lizard
GMW000000035423001,lizard
GMW000000035424001,lizard
GMW000000035425001,lizard
GMW000000035426001,lizard
GMW000000035427001,lizard
GMW000000035428001,lizard
GMW000000035429001,lizard
GMW000000035430001,lizard
GMW000000035431001,lizard
GMW000000035432001,lizard
GMW000000035433001,lizard
GMW000000035434001,lizard
GMW000000035435001,lizard
GMW000000035436001,lizard
GMW000000035437001,lizard
GMW000000035438001,lizard
GMW000000035439001,lizard
GMW000000035440001,lizard
GMW000000035441001,lizard
GMW000000035442001,lizard
GMW000000035443001,lizard
GMW000000035444001,lizard
GMW000000035445001,lizard
GMW000000035446001,lizard
GMW000000035447001,lizard
GMW000000035448001,lizard
GMW000000035449001,lizard
GMW000000035450001,lizard
GMW000000035451001,lizard
GMW000000035452001,lizard
GMW000000035453001,lizard
GMW000000035454001,lizard
GMW000000035455001,lizard
GMW000000035456001,lizard
GMW000000035457001,lizard
GMW000000035458001,lizard
GMW000000035459001,lizard
GMW000000035460001,lizard
GMW000000035461001,lizard
GMW000000035462001,lizard
GMW000000035463001,lizard
GMW000000035464001,lizard
GMW000000035465001,lizard
GMW000000035466001,lizard
GMW000000035467001,lizard
GMW000000035468001,lizard
GMW000000035469001,lizard
GMW000000035470001,lizard
GMW000000035471001,lizard
GMW000000035472001,lizard
GMW000000035473001,lizard
GMW000000035474001,lizard
GMW000000035475001,lizard
GMW000000035476001,lizard
GMW000000035477001,lizard
GMW000000035478001,lizard
GMW000000035479001,lizard
GMW000000035480001,lizard
GMW000000035481001,lizard
GMW000000035482001,lizard
GMW000000035483001,lizard
GMW000000035484001,lizard
GMW000000035485001,lizard
GMW000000035486001,lizard
GMW000000035487001,lizard
GMW000000035488001,lizard
GMW000000035489001,lizard
GMW000000035490001,lizard
GMW000000035491001,lizard
GMW000000035492001,lizard
GMW000000035493001,lizard
GMW000000035494001,lizard
GMW000000035495001,lizard
GMW000000035496001,lizard
GMW000000035497001,lizard
GMW000000035498001,lizard
GMW000000035499001,lizard
GMW000000035500001,lizard
GMW000000035501001,lizard
GMW000000035502001,lizard
GMW000000035503001,lizard
GMW000000035504001,lizard
GMW000000035505001,lizard
GMW000000035506001,lizard
GMW000000035507001,lizard
GMW000000035508001,lizard
GMW000000035509001,lizard
GMW000000035510001,lizard
GMW000000035511001,lizard
GMW000000035512001,lizard
GMW000000035513001,lizard
GMW000000035514001,lizard
GMW000000035515001,lizard
GMW000000035516001,lizard
GMW000000035517001,lizard
GMW000000035518001,lizard
GMW000000035519001,lizard
GMW000000035520001,lizard
GMW000000035521001,lizard
GMW000000035522001,lizard
GMW000000035523001,lizard
GMW000000035524001,lizard
GMW000000035525001,lizard
GMW000000035526001,lizard
GMW000000035527001,lizard
GMW000000035528001,lizard
GMW000000035529001,lizard
GMW000000035530001,lizard
GMW000000035531001,lizard
GMW000000035532001,lizard
GMW000000035533001,lizard
GMW000000035534001,lizard
GMW000000035535001,lizard
GMW000000035536001,lizard
GMW000000035537001,lizard
GMW000000035538001,lizard
GMW000000035539001,lizard
GMW000000035540001,lizard
GMW000000035541001,lizard
GMW000000035542001,lizard
GMW000000035543001,lizard
GMW000000035544001,lizard
GMW000000035545001,lizard
GMW000000035546001,lizard
GMW000000035547001,lizard
GMW000000035548001,lizard
GMW000000035549001,lizard
GMW000000035550001,lizard
GMW000000035551001,lizard
GMW000000035552001,lizard
GMW000000035553001,lizard
GMW000000035554001,lizard
GMW000000035555001,lizard
GMW000000035556001,lizard
GMW000000035557001,lizard
GMW000000035558001,lizard
GMW000000035559001,lizard
GMW000000035560001,lizard
GMW000000035561001,lizard
GMW000000035562001,lizard
GMW000000035563001,lizard
GMW000000035564001,lizard
GMW000000035565001,lizard
GMW000000035566001,lizard
GMW000000035567001,lizard
GMW000000035568001,lizard
GMW000000035569001,lizard
GMW000000035570001,lizard
GMW000000035571001,lizard
GMW000000035572001,lizard
GMW000000035573001,lizard
GMW000000035574001,lizard
GMW000000035575001,lizard
GMW000000035576001,lizard
GMW000000035577001,lizard
GMW000000035578001,lizard
GMW000000035579001,lizard
GMW000000035580001,lizard
GMW000000035581001,lizard
GMW000000035582001,lizard
GMW000000035583001,lizard
GMW000000035584001,lizard
GMW000000035585001,lizard
GMW000000035586001,lizard
GMW000000035587001,lizard
GMW000000035588001,lizard
GMW000000035589001,lizard
GMW000000035590001,lizard
GMW000000035591001,lizard
GMW000000035592001,lizard
GMW000000035593001,lizard
GMW000000035594001,lizard
GMW000000035595001,lizard
GMW000000035596001,lizard
GMW000000035597001,lizard
GMW000000035598001,lizard
GMW000000035599001,lizard
GMW000000035600001,lizard
GMW000000035662001,lizard
GMW000000035663001,lizard
GMW000000035664001,lizard
GMW000000035665001,lizard
GMW000000035666001,lizard
GMW000000035667001,lizard
GMW000000035668001,lizard
GMW000000035669001,lizard
GMW000000035670001,lizard
GMW000000035671001,lizard
GMW000000035672001,lizard
GMW000000035673001,lizard
GMW000000035674001,lizard
GMW000000035675001,lizard
GMW000000035676001,lizard
GMW000000035677001,lizard
GMW000000035678001,lizard
GMW000000035679001,lizard
GMW000000035680001,lizard
GMW000000035681001,lizard
GMW000000035682001,lizard
GMW000000035683001,lizard
GMW000000035684001,lizard
GMW000000035685001,lizard
GMW000000035686001,lizard
GMW000000035687001,lizard
GMW000000035688001,lizard
GMW000000035689001,lizard
GMW000000035690001,lizard
GMW000000035691001,lizard
GMW000000035692001,lizard
GMW000000035693001,lizard
GMW000000035694001,lizard
GMW000000035695001,lizard
GMW000000035696001,lizard
GMW000000035697001,lizard
GMW000000035698001,lizard
GMW000000035699001,lizard
GMW000000035700001,lizard
GMW000000035701001,lizard
GMW000000035702001,lizard
GMW000000035703001,lizard
GMW000000035704001,lizard
GMW000000035705001,lizard
GMW000000035706001,lizard
GMW000000035707001,lizard
GMW000000035708001,lizard
GMW000000035709001,lizard
GMW000000035710001,lizard
GMW000000035711001,lizard
GMW000000035712001,lizard
GMW000000035713001,lizard
GMW000000035714001,lizard
GMW000000035715001,lizard
GMW000000035716001,lizard
GMW000000035717001,lizard
GMW000000035718001,lizard
GMW000000035719001,lizard
GMW000000035720001,lizard
GMW000000035721001,lizard
GMW000000035722001,lizard
GMW000000035723001,lizard
GMW000000035724001,lizard
GMW000000035725001,lizard
GMW000000035726001,lizard
GMW000000035727001,lizard
GMW000000035728001,lizard
GMW000000035729001,lizard
GMW000000035730001,lizard
GMW000000035731001,lizard
GMW000000035732001,lizard
GMW000000035733001,lizard
GMW000000035734001,lizard
GMW000000035735001,lizard
GMW000000035736001,lizard
GMW000000035737001,lizard
GMW000000035738001,lizard
GMW000000035739001,lizard
GMW000000035740001,lizard
GMW000000035741001,lizard
GMW000000035742001,lizard
GMW000000035743001,lizard
GMW000000035744001,lizard
GMW000000035745001,lizard
GMW000000035746001,lizard
GMW000000035747001,lizard
GMW000000035748001,lizard
GMW000000035749001,lizard
GMW000000035750001,lizard
GMW000000035751001,lizard
GMW000000035752001,lizard
GMW000000035753001,lizard
GMW000000035754001,lizard
GMW000000035755001,lizard
GMW000000035756001,lizard
GMW000000035757001,lizard
GMW000000035758001,lizard
GMW000000035759001,lizard
GMW000000035760001,lizard
GMW000000035761001,lizard
GMW000000035762001,lizard
GMW000000035763001,lizard
GMW000000035764001,lizard
GMW000000035765001,lizard
GMW000000035766001,lizard
GMW000000035767001,lizard
GMW000000035768001,lizard
GMW000000035769001,lizard
GMW000000035770001,lizard
GMW000000035771001,lizard
GMW000000035772001,lizard
GMW000000035773001,lizard
GMW000000035774001,lizard
GMW000000035775001,lizard
GMW000000035776001,lizard
GMW000000035777001,lizard
GMW000000035778001,lizard
GMW000000035779001,lizard
GMW000000035780001,lizard
GMW000000035781001,lizard
GMW000000035782001,lizard
GMW000000035783001,lizard
GMW000000035784001,lizard
GMW000000035785001,lizard
GMW000000035786001,lizard
GMW000000035787001,lizard
GMW000000035788001,lizard
GMW000000035789001,lizard
GMW000000035790001,lizard
GMW000000035791001,lizard
GMW000000035792001,lizard
GMW000000035793001,lizard
GMW000000035794001,lizard
GMW000000035795001,lizard
GMW000000035796001,lizard
GMW000000035797001,lizard
GMW000000035798001,lizard
GMW000000035799001,lizard
GMW000000035800001,lizard
GMW000000035801001,lizard
GMW000000035802001,lizard
GMW000000035803001,lizard
GMW000000035804001,lizard
GMW000000035805001,lizard
GMW000000035806001,lizard
GMW000000035807001,lizard
GMW000000035808001,lizard
GMW000000035809001,lizard
GMW000000035810001,lizard
GMW000000035811001,lizard
GMW000000035812001,lizard
GMW000000035813001,lizard
GMW000000035814001,lizard
GMW000000035815001,lizard
GMW000000035816001,lizard
GMW000000035817001,lizard
GMW000000035818001,lizard
GMW000000035819001,lizard
GMW000000035820001,lizard
GMW000000035821001,lizard
GMW000000035822001,lizard
GMW000000035823001,lizard
GMW000000035824001,lizard
GMW000000035825001,lizard
GMW000000035826001,lizard
GMW000000035827001,lizard
GMW000000035828001,lizard
GMW000000035829001,lizard
GMW000000035830001,lizard
GMW000000035831001,lizard
GMW000000035832001,lizard
GMW000000035833001,lizard
GMW000000035834001,lizard
GMW000000035835001,lizard
GMW000000035836001,lizard
GMW000000035837001,lizard
GMW000000035838001,lizard
GMW000000035839001,lizard
GMW000000035840001,lizard
GMW000000035841001,lizard
GMW000000035842001,lizard
GMW000000035843001,lizard
GMW000000035844001,lizard
GMW000000035845001,lizard
GMW000000035846001,lizard
GMW000000035847001,lizard
GMW000000035848001,lizard
GMW000000035849001,lizard
GMW000000035850001,lizard
GMW000000035851001,lizard
GMW000000035852001,lizard
GMW000000035853001,lizard
GMW000000035854001,lizard
GMW000000035855001,lizard
GMW000000035856001,lizard
GMW000000035857001,lizard
GMW000000035858001,lizard
GMW000000035859001,lizard
GMW000000035860001,lizard
GMW000000035861001,lizard
GMW000000035862001,lizard
GMW000000035863001,lizard
GMW000000035864001,lizard
GMW000000035865001,lizard
GMW000000035866001,lizard
GMW000000035867001,lizard
GMW000000035868001,lizard
GMW000000035869001,lizard
GMW000000035870001,lizard
GMW000000035871001,lizard
GMW000000035872001,lizard
GMW000000035873001,lizard
GMW000000035874001,lizard
GMW000000035875001,lizard
GMW000000035876001,lizard
GMW000000035877001,lizard
GMW000000035878001,lizard
GMW000000035879001,lizard
GMW000000035880001,lizard
GMW000000035881001,lizard
GMW000000035882001,lizard
GMW000000035883001,lizard
GMW000000035884001,lizard
GMW000000035885001,lizard
GMW000000035886001,lizard
GMW000000035887001,lizard
GMW000000035888001,lizard
GMW000000035889001,lizard
GMW000000035890001,lizard
GMW000000035891001,lizard
GMW000000035892001,lizard
GMW000000035893001,lizard
GMW000000035894001,lizard
GMW000000035895001,lizard
GMW000000035896001,lizard
GMW000000035897001,lizard
GMW000000035898001,lizard
GMW000000035899001,lizard
GMW000000035900001,lizard
GMW000000035901001,lizard
GMW000000035902001,lizard
GMW000000035903001,lizard
GMW000000035904001,lizard
GMW000000035905001,lizard
GMW000000035906001,lizard
GMW000000035907001,lizard
GMW000000035908001,lizard
GMW000000035909001,lizard
GMW000000035910001,lizard
GMW000000035911001,lizard
GMW000000035912001,lizard
GMW000000035913001,lizard
GMW000000035914001,lizard
GMW000000035915001,lizard
GMW000000035916001,lizard
GMW000000035917001,lizard
GMW000000035918001,lizard
GMW000000035919001,lizard
GMW000000035920001,lizard
GMW000000035921001,lizard
GMW000000035922001,lizard
GMW000000035923001,lizard
GMW000000035924001,lizard
GMW000000035925001,lizard
GMW000000035926001,lizard
GMW000000035927001,lizard
