date,tube_nr
GMW000000058417001,1
GMW000000058418001,1
GMW000000058419001,1
GMW000000058420001,1
GMW000000058421001,1
GMW000000058422001,1
GMW000000047266001,1
GMW000000063339000,0
GMW000000063340001,1
GMW000000063341001,1
GMW000000074100001,1
GMW000000074100002,2
GMW000000074101001,1
GMW000000074101002,2
GMW000000074102001,1
GMW000000074102002,2
GMW000000075142001,1
GMW000000075142002,2
GMW000000075142003,3
GMW000000075143003,3
GMW000000075143002,2
GMW000000075143001,1
GMW000000075144002,2
GMW000000075144001,1
GMW000000075144003,3
GMW000000075145003,3
GMW000000075145002,2
GMW000000075145001,1
GMW000000075145004,4
GMW000000078793001,1
GMW000000078793002,2
GMW000000078794002,2
GMW000000078794001,1
GMW000000078795002,2
GMW000000078795001,1
GMW000000078796002,2
GMW000000078796001,1
GMW000000078797002,2
GMW000000078797001,1
GMW000000078798002,2
GMW000000078798001,1
GMW000000080014002,2
GMW000000080014001,1
GMW000000080015001,1
GMW000000080015002,2
GMW000000026630001,1
GMW000000034637001,1
GMW000000034638001,1
GMW000000034639001,1
GMW000000034640001,1
GMW000000035402001,1
GMW000000035403001,1
GMW000000035404001,1
GMW000000035405001,1
GMW000000035406001,1
GMW000000035407001,1
GMW000000035408001,1
GMW000000035409001,1
GMW000000035410001,1
GMW000000035411001,1
GMW000000035412001,1
GMW000000035413001,1
GMW000000035414001,1
GMW000000035415001,1
GMW000000035416001,1
GMW000000035417001,1
GMW000000035418001,1
GMW000000035419001,1
GMW000000035420001,1
GMW000000035421001,1
GMW000000035422001,1
GMW000000035423001,1
GMW000000035424001,1
GMW000000035425001,1
GMW000000035426001,1
GMW000000035427001,1
GMW000000035428001,1
GMW000000035429001,1
GMW000000035430001,1
GMW000000035431001,1
GMW000000035432001,1
GMW000000035433001,1
GMW000000035434001,1
GMW000000035435001,1
GMW000000035436001,1
GMW000000035437001,1
GMW000000035438001,1
GMW000000035439001,1
GMW000000035440001,1
GMW000000035441001,1
GMW000000035442001,1
GMW000000035443001,1
GMW000000035444001,1
GMW000000035445001,1
GMW000000035446001,1
GMW000000035447001,1
GMW000000035448001,1
GMW000000035449001,1
GMW000000035450001,1
GMW000000035451001,1
GMW000000035452001,1
GMW000000035453001,1
GMW000000035454001,1
GMW000000035455001,1
GMW000000035456001,1
GMW000000035457001,1
GMW000000035458001,1
GMW000000035459001,1
GMW000000035460001,1
GMW000000035461001,1
GMW000000035462001,1
GMW000000035463001,1
GMW000000035464001,1
GMW000000035465001,1
GMW000000035466001,1
GMW000000035467001,1
GMW000000035468001,1
GMW000000035469001,1
GMW000000035470001,1
GMW000000035471001,1
GMW000000035472001,1
GMW000000035473001,1
GMW000000035474001,1
GMW000000035475001,1
GMW000000035476001,1
GMW000000035477001,1
GMW000000035478001,1
GMW000000035479001,1
GMW000000035480001,1
GMW000000035481001,1
GMW000000035482001,1
GMW000000035483001,1
GMW000000035484001,1
GMW000000035485001,1
GMW000000035486001,1
GMW000000035487001,1
GMW000000035488001,1
GMW000000035489001,1
GMW000000035490001,1
GMW000000035491001,1
GMW000000035492001,1
GMW000000035493001,1
GMW000000035494001,1
GMW000000035495001,1
GMW000000035496001,1
GMW000000035497001,1
GMW000000035498001,1
GMW000000035499001,1
GMW000000035500001,1
GMW000000035501001,1
GMW000000035502001,1
GMW000000035503001,1
GMW000000035504001,1
GMW000000035505001,1
GMW000000035506001,1
GMW000000035507001,1
GMW000000035508001,1
GMW000000035509001,1
GMW000000035510001,1
GMW000000035511001,1
GMW000000035512001,1
GMW000000035513001,1
GMW000000035514001,1
GMW000000035515001,1
GMW000000035516001,1
GMW000000035517001,1
GMW000000035518001,1
GMW000000035519001,1
GMW000000035520001,1
GMW000000035521001,1
GMW000000035522001,1
GMW000000035523001,1
GMW000000035524001,1
GMW000000035525001,1
GMW000000035526001,1
GMW000000035527001,1
GMW000000035528001,1
GMW000000035529001,1
GMW000000035530001,1
GMW000000035531001,1
GMW000000035532001,1
GMW000000035533001,1
GMW000000035534001,1
GMW000000035535001,1
GMW000000035536001,1
GMW000000035537001,1
GMW000000035538001,1
GMW000000035539001,1
GMW000000035540001,1
GMW000000035541001,1
GMW000000035542001,1
GMW000000035543001,1
GMW000000035544001,1
GMW000000035545001,1
GMW000000035546001,1
GMW000000035547001,1
GMW000000035548001,1
GMW000000035549001,1
GMW000000035550001,1
GMW000000035551001,1
GMW000000035552001,1
GMW000000035553001,1
GMW000000035554001,1
GMW000000035555001,1
GMW000000035556001,1
GMW000000035557001,1
GMW000000035558001,1
GMW000000035559001,1
GMW000000035560001,1
GMW000000035561001,1
GMW000000035562001,1
GMW000000035563001,1
GMW000000035564001,1
GMW000000035565001,1
GMW000000035566001,1
GMW000000035567001,1
GMW000000035568001,1
GMW000000035569001,1
GMW000000035570001,1
GMW000000035571001,1
GMW000000035572001,1
GMW000000035573001,1
GMW000000035574001,1
GMW000000035575001,1
GMW000000035576001,1
GMW000000035577001,1
GMW000000035578001,1
GMW000000035579001,1
GMW000000035580001,1
GMW000000035581001,1
GMW000000035582001,1
GMW000000035583001,1
GMW000000035584001,1
GMW000000035585001,1
GMW000000035586001,1
GMW000000035587001,1
GMW000000035588001,1
GMW000000035589001,1
GMW000000035590001,1
GMW000000035591001,1
GMW000000035592001,1
GMW000000035593001,1
GMW000000035594001,1
GMW000000035595001,1
GMW000000035596001,1
GMW000000035597001,1
GMW000000035598001,1
GMW000000035599001,1
GMW000000035600001,1
GMW000000035662001,1
GMW000000035663001,1
GMW000000035664001,1
GMW000000035665001,1
GMW000000035666001,1
GMW000000035667001,1
GMW000000035668001,1
GMW000000035669001,1
GMW000000035670001,1
GMW000000035671001,1
GMW000000035672001,1
GMW000000035673001,1
GMW000000035674001,1
GMW000000035675001,1
GMW000000035676001,1
GMW000000035677001,1
GMW000000035678001,1
GMW000000035679001,1
GMW000000035680001,1
GMW000000035681001,1
GMW000000035682001,1
GMW000000035683001,1
GMW000000035684001,1
GMW000000035685001,1
GMW000000035686001,1
GMW000000035687001,1
GMW000000035688001,1
GMW000000035689001,1
GMW000000035690001,1
GMW000000035691001,1
GMW000000035692001,1
GMW000000035693001,1
GMW000000035694001,1
GMW000000035695001,1
GMW000000035696001,1
GMW000000035697001,1
GMW000000035698001,1
GMW000000035699001,1
GMW000000035700001,1
GMW000000035701001,1
GMW000000035702001,1
GMW000000035703001,1
GMW000000035704001,1
GMW000000035705001,1
GMW000000035706001,1
GMW000000035707001,1
GMW000000035708001,1
GMW000000035709001,1
GMW000000035710001,1
GMW000000035711001,1
GMW000000035712001,1
GMW000000035713001,1
GMW000000035714001,1
GMW000000035715001,1
GMW000000035716001,1
GMW000000035717001,1
GMW000000035718001,1
GMW000000035719001,1
GMW000000035720001,1
GMW000000035721001,1
GMW000000035722001,1
GMW000000035723001,1
GMW000000035724001,1
GMW000000035725001,1
GMW000000035726001,1
GMW000000035727001,1
GMW000000035728001,1
GMW000000035729001,1
GMW000000035730001,1
GMW000000035731001,1
GMW000000035732001,1
GMW000000035733001,1
GMW000000035734001,1
GMW000000035735001,1
GMW000000035736001,1
GMW000000035737001,1
GMW000000035738001,1
GMW000000035739001,1
GMW000000035740001,1
GMW000000035741001,1
GMW000000035742001,1
GMW000000035743001,1
GMW000000035744001,1
GMW000000035745001,1
GMW000000035746001,1
GMW000000035747001,1
GMW000000035748001,1
GMW000000035749001,1
GMW000000035750001,1
GMW000000035751001,1
GMW000000035752001,1
GMW000000035753001,1
GMW000000035754001,1
GMW000000035755001,1
GMW000000035756001,1
GMW000000035757001,1
GMW000000035758001,1
GMW000000035759001,1
GMW000000035760001,1
GMW000000035761001,1
GMW000000035762001,1
GMW000000035763001,1
GMW000000035764001,1
GMW000000035765001,1
GMW000000035766001,1
GMW000000035767001,1
GMW000000035768001,1
GMW000000035769001,1
GMW000000035770001,1
GMW000000035771001,1
GMW000000035772001,1
GMW000000035773001,1
GMW000000035774001,1
GMW000000035775001,1
GMW000000035776001,1
GMW000000035777001,1
GMW000000035778001,1
GMW000000035779001,1
GMW000000035780001,1
GMW000000035781001,1
GMW000000035782001,1
GMW000000035783001,1
GMW000000035784001,1
GMW000000035785001,1
GMW000000035786001,1
GMW000000035787001,1
GMW000000035788001,1
GMW000000035789001,1
GMW000000035790001,1
GMW000000035791001,1
GMW000000035792001,1
GMW000000035793001,1
GMW000000035794001,1
GMW000000035795001,1
GMW000000035796001,1
GMW000000035797001,1
GMW000000035798001,1
GMW000000035799001,1
GMW000000035800001,1
GMW000000035801001,1
GMW000000035802001,1
GMW000000035803001,1
GMW000000035804001,1
GMW000000035805001,1
GMW000000035806001,1
GMW000000035807001,1
GMW000000035808001,1
GMW000000035809001,1
GMW000000035810001,1
GMW000000035811001,1
GMW000000035812001,1
GMW000000035813001,1
GMW000000035814001,1
GMW000000035815001,1
GMW000000035816001,1
GMW000000035817001,1
GMW000000035818001,1
GMW000000035819001,1
GMW000000035820001,1
GMW000000035821001,1
GMW000000035822001,1
GMW000000035823001,1
GMW000000035824001,1
GMW000000035825001,1
GMW000000035826001,1
GMW000000035827001,1
GMW000000035828001,1
GMW000000035829001,1
