date,unit
GMW000000058417001,m NAP
GMW000000058418001,m NAP
GMW000000058419001,m NAP
GMW000000058420001,m NAP
GMW000000058421001,m NAP
GMW000000058422001,m NAP
GMW000000047266001,m NAP
GMW000000063339000,m NAP
GMW000000063340001,m NAP
GMW000000063341001,m NAP
GMW000000074100001,m NAP
GMW000000074100002,m NAP
GMW000000074101001,m NAP
GMW000000074101002,m NAP
GMW000000074102001,m NAP
GMW000000074102002,m NAP
GMW000000075142001,m NAP
GMW000000075142002,m NAP
GMW000000075142003,m NAP
GMW000000075143003,m NAP
GMW000000075143002,m NAP
GMW000000075143001,m NAP
GMW000000075144002,m NAP
GMW000000075144001,m NAP
GMW000000075144003,m NAP
GMW000000075145003,m NAP
GMW000000075145002,m NAP
GMW000000075145001,m NAP
GMW000000075145004,m NAP
GMW000000078793001,m NAP
GMW000000078793002,m NAP
GMW000000078794002,m NAP
GMW000000078794001,m NAP
GMW000000078795002,m NAP
GMW000000078795001,m NAP
GMW000000078796002,m NAP
GMW000000078796001,m NAP
GMW000000078797002,m NAP
GMW000000078797001,m NAP
GMW000000078798002,m NAP
GMW000000078798001,m NAP
GMW000000080014002,m NAP
GMW000000080014001,m NAP
GMW000000080015001,m NAP
GMW000000080015002,m NAP
GMW000000026630001,m NAP
GMW000000034637001,m NAP
GMW000000034638001,m NAP
GMW000000034639001,m NAP
GMW000000034640001,m NAP
GMW000000035402001,m NAP
GMW000000035403001,m NAP
GMW000000035404001,m NAP
GMW000000035405001,m NAP
GMW000000035406001,m NAP
GMW000000035407001,m NAP
GMW000000035408001,m NAP
GMW000000035409001,m NAP
GMW000000035410001,m NAP
GMW000000035411001,m NAP
GMW000000035412001,m NAP
GMW000000035413001,m NAP
GMW000000035414001,m NAP
GMW000000035415001,m NAP
GMW000000035416001,m NAP
GMW000000035417001,m NAP
GMW000000035418001,m NAP
GMW000000035419001,m NAP
GMW000000035420001,m NAP
GMW000000035421001,m NAP
GMW000000035422001,m NAP
GMW000000035423001,m NAP
GMW000000035424001,m NAP
GMW000000035425001,m NAP
GMW000000035426001,m NAP
GMW000000035427001,m NAP
GMW000000035428001,m NAP
GMW000000035429001,m NAP
GMW000000035430001,m NAP
GMW000000035431001,m NAP
GMW000000035432001,m NAP
GMW000000035433001,m NAP
GMW000000035434001,m NAP
GMW000000035435001,m NAP
GMW000000035436001,m NAP
GMW000000035437001,m NAP
GMW000000035438001,m NAP
GMW000000035439001,m NAP
GMW000000035440001,m NAP
GMW000000035441001,m NAP
GMW000000035442001,m NAP
GMW000000035443001,m NAP
GMW000000035444001,m NAP
GMW000000035445001,m NAP
GMW000000035446001,m NAP
GMW000000035447001,m NAP
GMW000000035448001,m NAP
GMW000000035449001,m NAP
GMW000000035450001,m NAP
GMW000000035451001,m NAP
GMW000000035452001,m NAP
GMW000000035453001,m NAP
GMW000000035454001,m NAP
GMW000000035455001,m NAP
GMW000000035456001,m NAP
GMW000000035457001,m NAP
GMW000000035458001,m NAP
GMW000000035459001,m NAP
GMW000000035460001,m NAP
GMW000000035461001,m NAP
GMW000000035462001,m NAP
GMW000000035463001,m NAP
GMW000000035464001,m NAP
GMW000000035465001,m NAP
GMW000000035466001,m NAP
GMW000000035467001,m NAP
GMW000000035468001,m NAP
GMW000000035469001,m NAP
GMW000000035470001,m NAP
GMW000000035471001,m NAP
GMW000000035472001,m NAP
GMW000000035473001,m NAP
GMW000000035474001,m NAP
GMW000000035475001,m NAP
GMW000000035476001,m NAP
GMW000000035477001,m NAP
GMW000000035478001,m NAP
GMW000000035479001,m NAP
GMW000000035480001,m NAP
GMW000000035481001,m NAP
GMW000000035482001,m NAP
GMW000000035483001,m NAP
GMW000000035484001,m NAP
GMW000000035485001,m NAP
GMW000000035486001,m NAP
GMW000000035487001,m NAP
GMW000000035488001,m NAP
GMW000000035489001,m NAP
GMW000000035490001,m NAP
GMW000000035491001,m NAP
GMW000000035492001,m NAP
GMW000000035493001,m NAP
GMW000000035494001,m NAP
GMW000000035495001,m NAP
GMW000000035496001,m NAP
GMW000000035497001,m NAP
GMW000000035498001,m NAP
GMW000000035499001,m NAP
GMW000000035500001,m NAP
GMW000000035501001,m NAP
GMW000000035502001,m NAP
GMW000000035503001,m NAP
GMW000000035504001,m NAP
GMW000000035505001,m NAP
GMW000000035506001,m NAP
GMW000000035507001,m NAP
GMW000000035508001,m NAP
GMW000000035509001,m NAP
GMW000000035510001,m NAP
GMW000000035511001,m NAP
GMW000000035512001,m NAP
GMW000000035513001,m NAP
GMW000000035514001,m NAP
GMW000000035515001,m NAP
GMW000000035516001,m NAP
GMW000000035517001,m NAP
GMW000000035518001,m NAP
GMW000000035519001,m NAP
GMW000000035520001,m NAP
GMW000000035521001,m NAP
GMW000000035522001,m NAP
GMW000000035523001,m NAP
GMW000000035524001,m NAP
GMW000000035525001,m NAP
GMW000000035526001,m NAP
GMW000000035527001,m NAP
GMW000000035528001,m NAP
GMW000000035529001,m NAP
GMW000000035530001,m NAP
GMW000000035531001,m NAP
GMW000000035532001,m NAP
GMW000000035533001,m NAP
GMW000000035534001,m NAP
GMW000000035535001,m NAP
GMW000000035536001,m NAP
GMW000000035537001,m NAP
GMW000000035538001,m NAP
GMW000000035539001,m NAP
GMW000000035540001,m NAP
GMW000000035541001,m NAP
GMW000000035542001,m NAP
GMW000000035543001,m NAP
GMW000000035544001,m NAP
GMW000000035545001,m NAP
GMW000000035546001,m NAP
GMW000000035547001,m NAP
GMW000000035548001,m NAP
GMW000000035549001,m NAP
GMW000000035550001,m NAP
GMW000000035551001,m NAP
GMW000000035552001,m NAP
GMW000000035553001,m NAP
GMW000000035554001,m NAP
GMW000000035555001,m NAP
GMW000000035556001,m NAP
GMW000000035557001,m NAP
GMW000000035558001,m NAP
GMW000000035559001,m NAP
GMW000000035560001,m NAP
GMW000000035561001,m NAP
GMW000000035562001,m NAP
GMW000000035563001,m NAP
GMW000000035564001,m NAP
GMW000000035565001,m NAP
GMW000000035566001,m NAP
GMW000000035567001,m NAP
GMW000000035568001,m NAP
GMW000000035569001,m NAP
GMW000000035570001,m NAP
GMW000000035571001,m NAP
GMW000000035572001,m NAP
GMW000000035573001,m NAP
GMW000000035574001,m NAP
GMW000000035575001,m NAP
GMW000000035576001,m NAP
GMW000000035577001,m NAP
GMW000000035578001,m NAP
GMW000000035579001,m NAP
GMW000000035580001,m NAP
GMW000000035581001,m NAP
GMW000000035582001,m NAP
GMW000000035583001,m NAP
GMW000000035584001,m NAP
GMW000000035585001,m NAP
GMW000000035586001,m NAP
GMW000000035587001,m NAP
GMW000000035588001,m NAP
GMW000000035589001,m NAP
GMW000000035590001,m NAP
GMW000000035591001,m NAP
GMW000000035592001,m NAP
GMW000000035593001,m NAP
GMW000000035594001,m NAP
GMW000000035595001,m NAP
GMW000000035596001,m NAP
GMW000000035597001,m NAP
GMW000000035598001,m NAP
GMW000000035599001,m NAP
GMW000000035600001,m NAP
GMW000000035662001,m NAP
GMW000000035663001,m NAP
GMW000000035664001,m NAP
GMW000000035665001,m NAP
GMW000000035666001,m NAP
GMW000000035667001,m NAP
GMW000000035668001,m NAP
GMW000000035669001,m NAP
GMW000000035670001,m NAP
GMW000000035671001,m NAP
GMW000000035672001,m NAP
GMW000000035673001,m NAP
GMW000000035674001,m NAP
GMW000000035675001,m NAP
GMW000000035676001,m NAP
GMW000000035677001,m NAP
GMW000000035678001,m NAP
GMW000000035679001,m NAP
GMW000000035680001,m NAP
GMW000000035681001,m NAP
GMW000000035682001,m NAP
GMW000000035683001,m NAP
GMW000000035684001,m NAP
GMW000000035685001,m NAP
GMW000000035686001,m NAP
GMW000000035687001,m NAP
GMW000000035688001,m NAP
GMW000000035689001,m NAP
GMW000000035690001,m NAP
GMW000000035691001,m NAP
GMW000000035692001,m NAP
GMW000000035693001,m NAP
GMW000000035694001,m NAP
GMW000000035695001,m NAP
GMW000000035696001,m NAP
GMW000000035697001,m NAP
GMW000000035698001,m NAP
GMW000000035699001,m NAP
GMW000000035700001,m NAP
GMW000000035701001,m NAP
GMW000000035702001,m NAP
GMW000000035703001,m NAP
GMW000000035704001,m NAP
GMW000000035705001,m NAP
GMW000000035706001,m NAP
GMW000000035707001,m NAP
GMW000000035708001,m NAP
GMW000000035709001,m NAP
GMW000000035710001,m NAP
GMW000000035711001,m NAP
GMW000000035712001,m NAP
GMW000000035713001,m NAP
GMW000000035714001,m NAP
GMW000000035715001,m NAP
GMW000000035716001,m NAP
GMW000000035717001,m NAP
GMW000000035718001,m NAP
GMW000000035719001,m NAP
GMW000000035720001,m NAP
GMW000000035721001,m NAP
GMW000000035722001,m NAP
GMW000000035723001,m NAP
GMW000000035724001,m NAP
GMW000000035725001,m NAP
GMW000000035726001,m NAP
GMW000000035727001,m NAP
GMW000000035728001,m NAP
GMW000000035729001,m NAP
GMW000000035730001,m NAP
GMW000000035731001,m NAP
GMW000000035732001,m NAP
GMW000000035733001,m NAP
GMW000000035734001,m NAP
GMW000000035735001,m NAP
GMW000000035736001,m NAP
GMW000000035737001,m NAP
GMW000000035738001,m NAP
GMW000000035739001,m NAP
GMW000000035740001,m NAP
GMW000000035741001,m NAP
GMW000000035742001,m NAP
GMW000000035743001,m NAP
GMW000000035744001,m NAP
GMW000000035745001,m NAP
GMW000000035746001,m NAP
GMW000000035747001,m NAP
GMW000000035748001,m NAP
GMW000000035749001,m NAP
GMW000000035750001,m NAP
GMW000000035751001,m NAP
GMW000000035752001,m NAP
GMW000000035753001,m NAP
GMW000000035754001,m NAP
GMW000000035755001,m NAP
GMW000000035756001,m NAP
GMW000000035757001,m NAP
GMW000000035758001,m NAP
GMW000000035759001,m NAP
GMW000000035760001,m NAP
GMW000000035761001,m NAP
GMW000000035762001,m NAP
GMW000000035763001,m NAP
GMW000000035764001,m NAP
GMW000000035765001,m NAP
GMW000000035766001,m NAP
GMW000000035767001,m NAP
GMW000000035768001,m NAP
GMW000000035769001,m NAP
GMW000000035770001,m NAP
GMW000000035771001,m NAP
GMW000000035772001,m NAP
GMW000000035773001,m NAP
GMW000000035774001,m NAP
GMW000000035775001,m NAP
GMW000000035776001,m NAP
GMW000000035777001,m NAP
GMW000000035778001,m NAP
GMW000000035779001,m NAP
GMW000000035780001,m NAP
GMW000000035781001,m NAP
GMW000000035782001,m NAP
GMW000000035783001,m NAP
GMW000000035784001,m NAP
GMW000000035785001,m NAP
GMW000000035786001,m NAP
GMW000000035787001,m NAP
GMW000000035788001,m NAP
GMW000000035789001,m NAP
GMW000000035790001,m NAP
GMW000000035791001,m NAP
GMW000000035792001,m NAP
GMW000000035793001,m NAP
GMW000000035794001,m NAP
GMW000000035795001,m NAP
GMW000000035796001,m NAP
GMW000000035797001,m NAP
GMW000000035798001,m NAP
GMW000000035799001,m NAP
GMW000000035800001,m NAP
GMW000000035801001,m NAP
GMW000000035802001,m NAP
GMW000000035803001,m NAP
GMW000000035804001,m NAP
GMW000000035805001,m NAP
GMW000000035806001,m NAP
GMW000000035807001,m NAP
GMW000000035808001,m NAP
GMW000000035809001,m NAP
GMW000000035810001,m NAP
GMW000000035811001,m NAP
GMW000000035812001,m NAP
GMW000000035813001,m NAP
GMW000000035814001,m NAP
GMW000000035815001,m NAP
GMW000000035816001,m NAP
GMW000000035817001,m NAP
GMW000000035818001,m NAP
GMW000000035819001,m NAP
GMW000000035820001,m NAP
GMW000000035821001,m NAP
GMW000000035822001,m NAP
GMW000000035823001,m NAP
GMW000000035824001,m NAP
GMW000000035825001,m NAP
GMW000000035826001,m NAP
GMW000000035827001,m NAP
GMW000000035828001,m NAP
GMW000000035829001,m NAP
GMW000000035830001,m NAP
GMW000000035831001,m NAP
GMW000000035832001,m NAP
GMW000000035833001,m NAP
GMW000000035834001,m NAP
GMW000000035835001,m NAP
GMW000000035836001,m NAP
GMW000000035837001,m NAP
GMW000000035838001,m NAP
GMW000000035839001,m NAP
GMW000000035840001,m NAP
GMW000000035841001,m NAP
GMW000000035842001,m NAP
GMW000000035843001,m NAP
GMW000000035844001,m NAP
GMW000000035845001,m NAP
GMW000000035846001,m NAP
GMW000000035847001,m NAP
GMW000000035848001,m NAP
GMW000000035849001,m NAP
GMW000000035850001,m NAP
GMW000000035851001,m NAP
GMW000000035852001,m NAP
GMW000000035853001,m NAP
