date,x
GMW000000058417001,75268.02216613415
GMW000000058418001,75294.82194603237
GMW000000058419001,75277.62108661955
GMW000000058420001,75256.82038320786
GMW000000058421001,75225.72066454231
GMW000000058422001,75243.42125689297
GMW000000047266001,71592.65950238689
GMW000000063339000,76572.82244934638
GMW000000063340001,61506.39538485478
GMW000000063341001,61830.23890638322
GMW000000074100001,63506.18472817907
GMW000000074100002,63506.18472817907
GMW000000074101001,62533.74558194868
GMW000000074101002,62533.74558194868
GMW000000074102001,64085.37035265246
GMW000000074102002,64085.37035265246
GMW000000075142001,67656.45260514355
GMW000000075142002,67656.45260514355
GMW000000075142003,67656.45260514355
GMW000000075143003,67073.30419611563
GMW000000075143002,67073.30419611563
GMW000000075143001,67073.30419611563
GMW000000075144002,67354.2718288759
GMW000000075144001,67354.2718288759
GMW000000075144003,67354.2718288759
GMW000000075145003,67919.10103731068
GMW000000075145002,67919.10103731068
GMW000000075145001,67919.10103731068
GMW000000075145004,67919.10103731068
GMW000000078793001,62689.13187355081
GMW000000078793002,62689.13187355081
GMW000000078794002,62791.6266914217
GMW000000078794001,62791.6266914217
GMW000000078795002,62443.496802249225
GMW000000078795001,62443.496802249225
GMW000000078796002,63935.22942404452
GMW000000078796001,63935.22942404452
GMW000000078797002,63421.19292765169
GMW000000078797001,63421.19292765169
GMW000000078798002,63099.48221120599
GMW000000078798001,63099.48221120599
GMW000000080014002,61835.40156871542
GMW000000080014001,61835.40156871542
GMW000000080015001,61888.080033702005
GMW000000080015002,61888.080033702005
GMW000000026630001,92803.98290376196
GMW000000034637001,91399.87990406566
GMW000000034638001,94470.32102005347
GMW000000034639001,94496.7647900047
GMW000000034640001,92261.55331491085
GMW000000035402001,92483.30955399369
GMW000000035403001,94547.38102587138
GMW000000035404001,94361.35386566893
GMW000000035405001,92428.29875780898
GMW000000035406001,94538.77240123798
GMW000000035407001,92622.25754453908
GMW000000035408001,94669.84378243203
GMW000000035409001,92044.62520574254
GMW000000035410001,94884.68854532193
GMW000000035411001,92278.64083177832
GMW000000035412001,94889.75769431915
GMW000000035413001,92936.97748496292
GMW000000035414001,94141.20348948913
GMW000000035415001,92443.27948529749
GMW000000035416001,94623.06628828516
GMW000000035417001,92401.37937045423
GMW000000035418001,94887.4566103823
GMW000000035419001,94778.52672786084
GMW000000035420001,92336.51526461159
GMW000000035421001,94716.0958448197
GMW000000035422001,92884.7005337248
GMW000000035423001,92951.48713255872
GMW000000035424001,94008.54668656157
GMW000000035425001,91729.41064287261
GMW000000035426001,94616.90103261353
GMW000000035427001,91258.57451880387
GMW000000035428001,94218.62881763483
GMW000000035429001,92487.28825803162
GMW000000035430001,94603.150556852
GMW000000035431001,91943.75019973876
GMW000000035432001,94637.70371715829
GMW000000035433001,90574.17651134377
GMW000000035434001,94803.01528207469
GMW000000035435001,94594.03057421508
GMW000000035436001,90385.53143087172
GMW000000035437001,94043.48690886973
GMW000000035438001,90172.37212131731
GMW000000035439001,94827.83532548387
GMW000000035440001,88737.61769282882
GMW000000035441001,94835.79569878081
GMW000000035442001,88355.52661625436
GMW000000035443001,90838.83706938672
GMW000000035444001,94557.71264746752
GMW000000035445001,89675.21962067753
GMW000000035446001,96159.61310373367
GMW000000035447001,92349.37436519735
GMW000000035448001,96681.81561448981
GMW000000035449001,92065.78264722056
GMW000000035450001,92834.63361836573
GMW000000035451001,96214.37946671117
GMW000000035452001,92729.03276305253
GMW000000035453001,95591.34643072897
GMW000000035454001,92887.82724919778
GMW000000035455001,95172.10674652754
GMW000000035456001,92628.82623713474
GMW000000035457001,96678.42616587372
GMW000000035458001,92362.93431146367
GMW000000035459001,96050.57316146407
GMW000000035460001,92854.59488205618
GMW000000035461001,95191.20396371727
GMW000000035462001,95173.43981581432
GMW000000035463001,92815.03742625391
GMW000000035464001,95303.31926223768
GMW000000035465001,92829.66733148589
GMW000000035466001,92846.85728683528
GMW000000035467001,95668.07058520493
GMW000000035468001,92729.00797986981
GMW000000035469001,94118.125047006
GMW000000035470001,92420.76650428376
GMW000000035471001,95887.31090638484
GMW000000035472001,92645.57668014498
GMW000000035473001,95402.6084821197
GMW000000035474001,92978.09883283384
GMW000000035475001,94540.3428626346
GMW000000035476001,92814.23710793187
GMW000000035477001,94189.97029458238
GMW000000035478001,92501.29741295986
GMW000000035479001,94484.48040886197
GMW000000035480001,92726.92701934798
GMW000000035481001,94321.95072137206
GMW000000035482001,92715.54711390488
GMW000000035483001,94462.42287698417
GMW000000035484001,92617.19799226618
GMW000000035485001,94757.63506598974
GMW000000035486001,92330.90845978561
GMW000000035487001,94031.17212296964
GMW000000035488001,92333.84861197381
GMW000000035489001,94307.94945819097
GMW000000035490001,94630.4911482682
GMW000000035491001,94226.25583319858
GMW000000035492001,94296.74590520494
GMW000000035493001,94489.06987480224
GMW000000035494001,94821.39474756872
GMW000000035495001,93574.98502630793
GMW000000035496001,93326.69703765902
GMW000000035497001,93741.90024987789
GMW000000035498001,93059.4104773906
GMW000000035499001,93413.20843271093
