date,y
GMW000000058417001,434300.1979952321
GMW000000058418001,434305.5981185185
GMW000000058419001,434446.6974569566
GMW000000058420001,434571.996777936
GMW000000058421001,434563.89671308873
GMW000000058422001,434458.8971617839
GMW000000047266001,438102.1091568668
GMW000000063339000,434389.4147179307
GMW000000063340001,438909.1155824872
GMW000000063341001,438765.9106598149
GMW000000074100001,441964.6928581139
GMW000000074100002,441964.6928581139
GMW000000074101001,441859.62176497286
GMW000000074101002,441859.62176497286
GMW000000074102001,442027.8693446716
GMW000000074102002,442027.8693446716
GMW000000075142001,442505.9700750081
GMW000000075142002,442505.9700750081
GMW000000075142003,442505.9700750081
GMW000000075143003,442778.9927225669
GMW000000075143002,442778.9927225669
GMW000000075143001,442778.9927225669
GMW000000075144002,442647.2168844592
GMW000000075144001,442647.2168844592
GMW000000075144003,442647.2168844592
GMW000000075145003,442380.55676916806
GMW000000075145002,442380.55676916806
GMW000000075145001,442380.55676916806
GMW000000075145004,442380.55676916806
GMW000000078793001,440722.7203668298
GMW000000078793002,440722.7203668298
GMW000000078794002,440742.55636437034
GMW000000078794001,440742.55636437034
GMW000000078795002,440675.2213022275
GMW000000078795001,440675.2213022275
GMW000000078796002,440963.80976369884
GMW000000078796001,440963.80976369884
GMW000000078797002,440864.3360139843
GMW000000078797001,440864.3360139843
GMW000000078798002,440802.02507172024
GMW000000078798001,440802.02507172024
GMW000000080014002,442069.98785954865
GMW000000080014001,442069.98785954865
GMW000000080015001,441855.29441954195
GMW000000080015002,441855.29441954195
GMW000000026630001,439151.5342100353
GMW000000034637001,439118.2189931043
GMW000000034638001,438417.1761282429
GMW000000034639001,437602.97601103666
GMW000000034640001,438264.45976612245
GMW000000035402001,436048.4465178936
GMW000000035403001,438488.22559150343
GMW000000035404001,437633.72740734485
GMW000000035405001,436018.7461573396
GMW000000035406001,438115.8262654138
GMW000000035407001,436875.64269741497
GMW000000035408001,437974.6247428138
GMW000000035409001,436895.44621490967
GMW000000035410001,437208.7232002977
GMW000000035411001,435093.24902510096
GMW000000035412001,437350.92251084076
GMW000000035413001,434301.44137169636
GMW000000035414001,437422.6293579518
GMW000000035415001,435991.0467440313
GMW000000035416001,437432.6248004369
GMW000000035417001,435952.94667755737
GMW000000035418001,437673.82336113486
GMW000000035419001,437533.3234894893
GMW000000035420001,434007.04686361476
GMW000000035421001,437522.52415234636
GMW000000035422001,433444.03928343696
GMW000000035423001,434335.7419994159
GMW000000035424001,436413.63217242004
GMW000000035425001,434348.751441468
GMW000000035426001,436266.52529919683
GMW000000035427001,432947.2502384945
GMW000000035428001,436173.1300312786
GMW000000035429001,433459.94385917514
GMW000000035430001,436284.12573816633
GMW000000035431001,439716.134278015
GMW000000035432001,435582.7256964097
GMW000000035433001,434522.1586755034
GMW000000035434001,435445.0227071364
GMW000000035435001,436314.4259155171
GMW000000035436001,436016.6568877091
GMW000000035437001,436265.7317257776
GMW000000035438001,435487.25875914854
GMW000000035439001,435434.92260622396
GMW000000035440001,439622.9332763897
GMW000000035441001,435422.6231329872
GMW000000035442001,436803.4534772391
GMW000000035443001,434445.1573969659
GMW000000035444001,435713.2261628967
GMW000000035445001,436335.85605914023
GMW000000035446001,431776.5016256057
GMW000000035447001,437926.44133132376
GMW000000035448001,431654.79735423287
GMW000000035449001,438239.8403843442
GMW000000035450001,438796.4354274307
GMW000000035451001,434182.30450899736
GMW000000035452001,439257.23410323646
GMW000000035453001,440017.8196230112
GMW000000035454001,437571.83933883463
GMW000000035455001,437828.02050060104
GMW000000035456001,437582.1404590475
GMW000000035457001,431653.19789101277
GMW000000035458001,438025.8405674239
GMW000000035459001,431538.3025670388
GMW000000035460001,438377.3363408469
GMW000000035461001,433530.21519876755
GMW000000035462001,437323.02012060344
GMW000000035463001,437481.9397906058
GMW000000035464001,437579.91921433056
GMW000000035465001,437493.3396911512
GMW000000035466001,437482.3396770249
GMW000000035467001,432117.10671328823
GMW000000035468001,437113.6721196711
GMW000000035469001,441839.32550317416
GMW000000035470001,437223.1436131637
GMW000000035471001,432710.0060206108
GMW000000035472001,437490.3415072266
GMW000000035473001,432450.3102733642
GMW000000035474001,437036.14038056065
GMW000000035475001,438074.0253598334
GMW000000035476001,437521.1393184712
GMW000000035477001,438379.9286325277
GMW000000035478001,436817.3445100186
GMW000000035479001,438567.2253873873
GMW000000035480001,437291.74069906725
GMW000000035481001,438431.82756075525
GMW000000035482001,437291.4407173475
GMW000000035483001,438018.82634215534
GMW000000035484001,436686.4440721945
GMW000000035485001,437753.771618455
GMW000000035486001,436108.74706168164
GMW000000035487001,437738.2308257845
GMW000000035488001,436110.74753112695
GMW000000035489001,433233.4245437798
GMW000000035490001,433236.8206537345
GMW000000035491001,434125.32754565723
GMW000000035492001,434209.9269413394
GMW000000035493001,433456.9233514684
GMW000000035494001,432503.51664270717
GMW000000035495001,441847.52547389414
GMW000000035496001,438346.23455649574
GMW000000035497001,437817.0327301759
GMW000000035498001,440138.03030714724
GMW000000035499001,440877.92826176895
